,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
48,3/10/2005,1.266483749,-0.04,-0.77,-0.35,-0.044751552,-1.891204856,1.801701752,FALSE,-0.044751552,FALSE,,
49,3/11/2005,-0.474131597,-0.51,0.53,0.62,-0.365757408,-2.218426363,1.486911547,TRUE,-0.365757408,TRUE,,
50,3/14/2005,1.575264461,0.56,-0.22,0.17,0.583587329,-1.251852526,2.419027183,TRUE,0.583587329,FALSE,,
51,3/15/2005,-0.689187589,-0.64,0.22,0.28,-0.543361177,-2.381855838,1.295133485,TRUE,-0.543361177,FALSE,,
52,3/16/2005,-0.77459125,-0.78,0.2,0.18,-0.698674635,-2.538408405,1.141059135,TRUE,-0.698674635,TRUE,,
53,3/17/2005,0.834735514,0.23,0.02,0.63,0.385723986,-1.454047818,2.22549579,TRUE,0.385723986,FALSE,,
54,3/18/2005,1.322955178,-0.16,-0.38,0.12,-0.068255409,-1.899398781,1.762887963,FALSE,-0.068255409,TRUE,,
55,3/21/2005,0.069020154,-0.45,0.31,-0.14,-0.507649967,-2.344239041,1.328939106,FALSE,-0.507649967,FALSE,,
56,3/22/2005,-1.062118886,-0.88,0.64,-0.07,-0.926318083,-2.782505506,0.92986934,TRUE,-0.926318083,TRUE,,
57,3/23/2005,-0.871815135,-0.27,-0.82,-0.67,-0.344125476,-2.201864526,1.513613575,TRUE,-0.344125476,TRUE,,
58,3/24/2005,0.050368248,0.03,0.47,-0.06,-0.066548281,-1.899849294,1.766752732,FALSE,-0.066548281,FALSE,,
59,3/28/2005,-0.01,0.08,-0.22,0,0.093269145,-1.736844757,1.923383047,FALSE,0.093269145,TRUE,,
60,3/29/2005,-0.453549114,-0.82,-0.78,-0.02,-0.658683128,-2.497864688,1.180498431,TRUE,-0.658683128,FALSE,,
61,3/30/2005,1.215037913,1.3,0.12,-0.26,1.085016411,-0.759614696,2.929647517,TRUE,1.085016411,FALSE,,
62,3/31/2005,-1.053348148,0.11,-0.04,0.74,0.317140995,-1.526102762,2.160384752,FALSE,0.317140995,FALSE,,
63,4/1/2005,-0.718433284,-0.56,-0.07,0.71,-0.301044085,-2.144443547,1.542355377,TRUE,-0.301044085,FALSE,,
64,4/4/2005,-1.092416368,0.2,0.03,0.15,0.213208578,-1.616236032,2.042653188,FALSE,0.213208578,TRUE,,
65,4/5/2005,-0.092169273,0.36,-0.13,-0.31,0.244296835,-1.58986561,2.07845928,FALSE,0.244296835,FALSE,,
66,4/6/2005,0.604630085,0.25,-0.1,0.02,0.238179178,-1.591679415,2.068037772,TRUE,0.238179178,TRUE,,
67,4/7/2005,1.26855623,0.52,0.01,-0.23,0.395224041,-1.437462566,2.227910647,TRUE,0.395224041,TRUE,,
68,4/8/2005,-0.860551908,-0.85,-0.42,-0.01,-0.733286652,-2.568476341,1.101903038,TRUE,-0.733286652,FALSE,,
69,4/11/2005,0.152568619,-0.09,-0.62,0.1,0.023264707,-1.812684762,1.859214177,TRUE,0.023264707,FALSE,,
70,4/12/2005,1.080479304,0.49,0.26,-0.19,0.344917076,-1.486158588,2.17599274,TRUE,0.344917076,TRUE,,
71,4/13/2005,-1.019293994,-1.19,-0.32,-0.17,-1.106367554,-2.949438508,0.736703401,TRUE,-1.106367554,FALSE,,
72,4/14/2005,-1.419768981,-1.12,-0.57,-0.17,-1.007469151,-2.849324104,0.834385801,TRUE,-1.007469151,TRUE,,
73,4/15/2005,-2.131102603,-1.59,-0.07,-0.51,-1.609138188,-3.476111091,0.257834715,TRUE,-1.609138188,TRUE,,
