"","Date","Bar","Open","High","Low","Close","Dir","Return"
"1000001",20100409,650,1.340325,1.340325,1.340075,1.340125,"",0
"1000002",20100409,651,1.340125,1.340175,1.340075,1.340125,"Short",0
"1000003",20100409,652,1.340125,1.340175,1.34005,1.34005,"Short",-0.0000559649286447512
"1000004",20100409,653,1.34005,1.340075,1.340025,1.340025,"Long",0.0000186563683512932
"1000005",20100409,654,1.340025,1.34025,1.33985,1.34025,"Long",-0.00016787912702848
"1000006",20100409,655,1.34025,1.340375,1.34025,1.34035,"Short",0.0000746129453460093
"1000007",20100409,656,1.34035,1.340525,1.34035,1.340475,"Short",0.000093259223337302
"1000008",20100409,657,1.340475,1.340525,1.340375,1.340525,"Short",0.0000373002107461038
"1000009",20100409,658,1.340525,1.340675,1.340525,1.34055,"Short",0.0000186494097461381
"1000010",20100409,659,1.34055,1.340675,1.340325,1.340325,"Short",-0.000167841557569594
"1000011",20100409,700,1.340325,1.340525,1.340125,1.34045,"Long",-0.0000932522660300129
"1000012",20100409,701,1.34045,1.340675,1.34045,1.340675,"Long",-0.000167825908590928
"1000013",20100409,702,1.340675,1.340675,1.340325,1.340375,"Short",-0.000223767878121071
"1000014",20100409,703,1.340375,1.340525,1.3403,1.34045,"Long",-0.0000559513596179083
"1000015",20100409,704,1.34045,1.34065,1.34045,1.340575,"Short",0.0000932522660301785
"1000016",20100409,705,1.340575,1.340675,1.34055,1.340675,"Long",-0.0000745892927070237
"1000017",20100409,706,1.340675,1.340725,1.340575,1.34065,"Short",-0.0000186473231768801
"1000018",20100409,707,1.34065,1.34065,1.34045,1.340525,"Short",-0.0000932383545294676
"1000019",20100409,708,1.340525,1.340525,1.340325,1.340325,"Short",-0.000149195277969436
"1000020",20100409,709,1.340325,1.34035,1.34015,1.34015,"Long",0.000130582397492845
"1000021",20100409,710,1.34015,1.34025,1.340025,1.340025,"Long",0.0000932818417566319
"1000022",20100409,711,1.340025,1.340125,1.340025,1.34005,"Long",-0.0000186560202977066
"1000023",20100409,712,1.34005,1.34005,1.33985,1.33985,"Long",0.00014927044072096
"1000024",20100409,713,1.33985,1.339875,1.33955,1.33965,"Long",0.000149292725711923
"1000025",20100409,714,1.33965,1.33965,1.339275,1.339325,"Long",0.000242659548653171
"1000026",20100409,715,1.339325,1.339475,1.339325,1.339425,"Long",-0.0000746589021408358
"1000027",20100409,716,1.339425,1.339425,1.339275,1.339375,"Long",0.0000373308446104381
"1000028",20100409,717,1.339375,1.339425,1.33935,1.33935,"Long",0.0000186657707096291
"1000029",20100409,718,1.33935,1.33935,1.33925,1.33925,"Short",-0.0000746630828386822
"1000030",20100409,719,1.33925,1.33925,1.338975,1.338975,"Long",0.000205380981721111
"1000031",20100409,720,1.338975,1.33905,1.33895,1.33905,"Long",-0.0000560098577349966
"1000032",20100409,721,1.33905,1.339275,1.33905,1.339175,"Long",-0.0000933410495267091
"1000033",20100409,722,1.339175,1.339225,1.338925,1.338925,"Long",0.000186716955766816
"1000034",20100409,723,1.338925,1.33925,1.338925,1.33925,"Long",-0.000242673137950443
"1000035",20100409,724,1.33925,1.339525,1.339075,1.339375,"Short",0.0000933358222885426
"1000036",20100409,725,1.339375,1.339425,1.339225,1.33925,"Short",-0.0000933271115258466
"1000037",20100409,726,1.33925,1.339425,1.339175,1.339375,"Short",0.0000933358222885426
"1000038",20100409,727,1.339375,1.339375,1.339125,1.339125,"Short",-0.000186654223051859
"1000039",20100409,728,1.339125,1.33915,1.338925,1.33915,"Long",-0.0000186685584140416
"1000040",20100409,729,1.33915,1.339725,1.339125,1.339725,"Long",-0.000429192558174246
"1000041",20100409,730,1.339725,1.33975,1.339275,1.339375,"Short",-0.000261247644106121
"1000042",20100409,731,1.339375,1.339375,1.338775,1.338875,"Short",-0.000373308446103552
"1000043",20100409,732,1.338875,1.338925,1.33875,1.338775,"Long",0.0000746951504173509
"1000044",20100409,733,1.338775,1.338875,1.338675,1.338675,"Long",0.0000747007301996295
"1000045",20100409,734,1.338675,1.338925,1.338675,1.33875,"Long",-0.0000560224089636207
"1000046",20100409,735,1.33875,1.33875,1.338575,1.338575,"Long",0.000130736043927338
"1000047",20100409,736,1.338575,1.33885,1.33855,1.33885,"Long",-0.000205400156851048
"1000048",20100409,737,1.33885,1.33915,1.338675,1.33905,"Short",0.000149381932255277
"1000049",20100409,738,1.33905,1.339075,1.33895,1.339075,"Short",0.0000186699525782769
"1000050",20100409,739,1.339075,1.339075,1.339025,1.33905,"Short",-0.0000186696040176553
"1000051",20100409,740,1.33905,1.339075,1.338775,1.33885,"Short",-0.000149359620626547
"1000052",20100409,741,1.33885,1.339025,1.33885,1.338925,"Long",-0.0000560150867298954
"1000053",20100409,742,1.338925,1.33905,1.338925,1.338975,"Long",-0.0000373419966766411
"1000054",20100409,743,1.338975,1.339225,1.33895,1.339225,"Long",-0.000186675129272589
"1000055",20100409,744,1.339225,1.339225,1.339075,1.339075,"Short",-0.000112005077563587
"1000056",20100409,745,1.339075,1.339175,1.339075,1.33915,"Short",0.0000560088120531316
"1000057",20100409,746,1.33915,1.33915,1.339025,1.33905,"Short",-0.0000746742336556689
"1000058",20100409,747,1.33905,1.33925,1.33895,1.339225,"Long",-0.000130672590490796
"1000059",20100409,748,1.339225,1.33935,1.339175,1.33925,"Short",0.0000186675129272092
"1000060",20100409,749,1.33925,1.339525,1.339225,1.339475,"Long",-0.000167976259355285
"1000061",20100409,750,1.339475,1.339475,1.339175,1.339275,"Short",-0.000149312230538068
"1000062",20100409,751,1.339275,1.33935,1.339175,1.339225,"Long",0.0000373350258544184
"1000063",20100409,752,1.339225,1.33925,1.339175,1.33925,"Short",0.0000186675129272092
"1000064",20100409,753,1.33925,1.339425,1.33925,1.339375,"Long",-0.0000933271115258466
"1000065",20100409,754,1.339375,1.33945,1.339325,1.33935,"Short",-0.0000186654223051362
"1000066",20100409,755,1.33935,1.339425,1.339325,1.339425,"Short",0.0000559973121290531
"1000067",20100409,756,1.339425,1.339525,1.33935,1.33945,"Short",0.0000186647255351675
"1000068",20100409,757,1.33945,1.33945,1.339325,1.339375,"Short",-0.0000559931315092368
"1000069",20100409,758,1.339375,1.33955,1.33935,1.33945,"Long",-0.0000559931315092368
"1000070",20100409,759,1.33945,1.33955,1.33945,1.33945,"Short",0
"1000071",20100409,800,1.33945,1.33945,1.33935,1.339425,"Long",0.0000186647255351675
"1000072",20100409,801,1.339425,1.339425,1.339175,1.33925,"Short",-0.000130653078746504
"1000073",20100409,802,1.33925,1.33925,1.33905,1.33905,"Long",0.000149359620626547
"1000074",20100409,803,1.33905,1.339125,1.33895,1.338975,"Long",0.0000560129950148787
"1000075",20100409,804,1.338975,1.339025,1.338925,1.339025,"Long",-0.0000373406023038281
"1000076",20100409,805,1.339025,1.339025,1.33875,1.33875,"Long",0.000205415499533
"1000077",20100409,806,1.33875,1.338775,1.33855,1.33855,"Long",0.000149415412199918
"1000078",20100409,807,1.33855,1.33865,1.33855,1.338625,"Long",-0.0000560276403025846
"1000079",20100409,808,1.338625,1.338625,1.338325,1.338325,"Long",0.000224160798012416
"1000080",20100409,809,1.338325,1.338525,1.338325,1.338525,"Long",-0.000149418202872548
"1000081",20100409,810,1.338525,1.338525,1.338275,1.33835,"Short",-0.000130740927513521
"1000082",20100409,811,1.33835,1.33845,1.338175,1.338225,"Long",0.0000934073119243257
"1000083",20100409,812,1.338225,1.338275,1.338025,1.338075,"Short",-0.000112088774309324
"1000084",20100409,813,1.338075,1.338325,1.338025,1.338225,"Long",-0.000112088774309324
"1000085",20100409,814,1.338225,1.33845,1.33805,1.33835,"Long",-0.0000933985878133005
"1000086",20100409,815,1.33835,1.338675,1.33835,1.33865,"Long",-0.000224106375826368
"1000087",20100409,816,1.33865,1.33865,1.33825,1.33835,"Short",-0.000224106375826368
"1000088",20100409,817,1.33835,1.338525,1.338225,1.338225,"Short",-0.0000933985878133005
"1000089",20100409,818,1.338225,1.33825,1.338075,1.33825,"Short",0.000018681462384832
"1000090",20100409,819,1.33825,1.338275,1.33795,1.33795,"Long",0.000224223625696003
"1000091",20100409,820,1.33795,1.33825,1.337875,1.33825,"Long",-0.000224173360732275
"1000092",20100409,821,1.33825,1.338275,1.338075,1.338075,"Short",-0.000130767793760535
"1000093",20100409,822,1.338075,1.338125,1.337825,1.33795,"Long",0.0000934265107066263
"1000094",20100409,823,1.33795,1.338025,1.337925,1.33795,"Short",0
"1000095",20100409,824,1.33795,1.33805,1.337775,1.33785,"Long",0.0000747467952311462
"1000096",20100409,825,1.33785,1.33795,1.337675,1.337875,"Long",-0.0000186863496215579
"1000097",20100409,826,1.337875,1.337925,1.33765,1.337725,"Short",-0.000112118097729513
"1000098",20100409,827,1.337725,1.337925,1.337725,1.33785,"Long",-0.0000934334940388913
"1000099",20100409,828,1.33785,1.33785,1.337675,1.337675,"Short",-0.000130806891654547
"1000100",20100409,829,1.337675,1.33775,1.337325,1.337575,"Long",0.0000747621628693636
"1000101",20100409,830,1.337575,1.337925,1.337525,1.337775,"Long",-0.000149501971557233
"1000102",20100409,831,1.337775,1.33785,1.337675,1.337675,"Long",0.0000747565739062097
"1000103",20100409,832,1.337675,1.33785,1.337575,1.337825,"Long",-0.000112122288042229
"1000104",20100409,833,1.337825,1.33785,1.33775,1.33785,"Short",0.0000186870480069828
"1000105",20100409,834,1.33785,1.33785,1.33775,1.33785,"Long",0
"1000106",20100409,835,1.33785,1.337925,1.337675,1.337725,"Short",-0.0000934334940388913
"1000107",20100409,836,1.337725,1.337825,1.33765,1.337825,"Long",-0.0000747481920280971
"1000108",20100409,837,1.337825,1.33785,1.33765,1.337725,"Short",-0.0000747481920280971
"1000109",20100409,838,1.337725,1.33785,1.337325,1.337325,"Long",0.000299104555736232
"1000110",20100409,839,1.337325,1.337425,1.33725,1.33725,"Long",0.000056085249579396
"1000111",20100409,840,1.33725,1.33725,1.336925,1.337025,"Long",0.000168284063499293
"1000112",20100409,841,1.337025,1.33725,1.337025,1.33715,"Long",-0.00009348240661119
"1000113",20100409,842,1.33715,1.337625,1.33715,1.337625,"Long",-0.000355106999345858
